"lon","lat","weight","interval"
120.27967,23.10608,1,1454131800
120.29372,22.89405,1,1454149500
120.30647,22.67601,1,1454150400
120.30694,22.68575,1,1454148300
120.30694,22.68575,1,1454150100
120.32614,23.55917,1,1454147700
120.33688,23.38104,1,1454148300
120.33688,23.38104,2,1454151300
120.34600,23.69225,1,1454132700
120.35697,23.62308,1,1454147700
120.35961,23.42486,1,1454151300
120.36967,23.44449,1,1454151300
120.38127,23.49878,1,1454130300
120.38127,23.49878,1,1454151000
120.39616,23.49364,1,1454151000
120.40553,23.49014,1,1454151000
120.42947,23.47951,1,1454151300
120.43371,23.47847,1,1454151300
120.43746,23.61663,1,1454150100
120.44036,23.81125,1,1454130000
120.44984,23.49842,1,1454150700
120.45740,23.67374,1,1454149800
120.46217,23.79691,1,1454130000
120.46243,23.72537,1,1454149800
120.46687,23.79787,1,1454149200
120.46699,23.68761,1,1454130000
120.46699,23.68761,1,1454150100
120.47100,23.68109,1,1454130000
120.47259,23.67753,1,1454149800
120.47438,23.69224,1,1454151000
120.47569,23.78642,2,1454130000
120.47849,23.74456,1,1454150700
120.47849,23.88885,1,1454130300
120.47849,23.88885,1,1454149200
120.47893,23.95975,1,1454131200
120.47898,23.77395,1,1454130300
120.48303,23.93589,1,1454130600
120.48977,23.83117,1,1454149200
120.49284,23.88966,1,1454130600
120.49284,23.88966,1,1454148900
120.49284,23.88966,1,1454151300
120.49300,23.85280,1,1454130300
120.49335,23.86682,1,1454130000
120.49335,23.86682,1,1454151300
120.49400,23.84900,1,1454130000
120.49400,23.84900,1,1454148900
120.49419,23.84903,1,1454130300
120.49572,23.89835,1,1454130600
120.49572,23.89835,1,1454148900
120.49852,23.92180,3,1454130600
120.49852,23.92180,1,1454131200
120.49852,23.92180,1,1454148900
120.50656,24.03669,1,1454150400
120.50716,23.96914,3,1454130600
120.50716,23.96914,1,1454150700
120.50782,23.99913,1,1454130900
120.50782,23.99913,2,1454148600
120.50829,23.94018,1,1454130600
120.50984,23.95340,1,1454151000
120.50984,23.95390,2,1454130600
120.50984,23.95390,1,1454131200
120.51357,24.15866,1,1454147400
120.51400,24.15250,1,1454147400
120.51504,24.05498,1,1454150700
120.51574,24.12558,1,1454147400
120.51625,24.01351,1,1454130600
120.51625,24.01351,2,1454131200
120.51654,24.13480,1,1454147400
120.51732,24.20404,1,1454147100
120.51746,24.01848,1,1454130900
120.51817,24.12062,1,1454147400
120.51849,24.06344,1,1454130900
120.51873,24.03108,1,1454150400
120.52106,24.12695,1,1454147400
120.52214,24.07700,1,1454150400
120.52267,24.06358,1,1454130900
120.52267,24.06358,1,1454150400
120.52432,24.05621,1,1454150400
120.52522,24.06156,1,1454150400
120.52618,24.03120,1,1454130900
120.52665,24.07320,1,1454150400
120.52703,24.06825,2,1454130900
120.52703,24.06825,1,1454150400
120.53083,24.15911,1,1454147100
120.53108,24.18236,1,1454147400
120.53262,24.05931,1,1454150400
120.53300,24.04510,1,1454150700
120.53306,24.08833,1,1454131200
120.53311,24.04508,1,1454150400
120.53741,24.08912,1,1454150400
120.53793,24.09398,1,1454130900
120.53793,24.09398,1,1454150400
120.53928,24.09417,1,1454150400
120.54265,24.09389,2,1454131200
120.54295,24.17520,1,1454147100
120.54373,24.15182,1,1454147400
120.54553,24.10075,1,1454131200
120.54576,24.16105,3,1454147100
120.54669,23.61036,1,1454130000
120.55109,24.09711,1,1454150400
120.55314,23.63256,1,1454130000
120.55542,24.09806,1,1454147700
120.55542,24.09806,1,1454150400
120.55995,24.19115,1,1454147100
120.56190,24.10472,1,1454131200
120.56190,24.10472,1,1454150100
120.56911,24.21908,1,1454147100
120.56997,24.12510,1,1454147400
120.57049,24.24307,1,1454146800
120.57088,24.11514,1,1454131500
120.57088,24.11514,1,1454147700
120.57088,24.11514,1,1454148000
120.57139,24.12139,1,1454130000
120.57139,24.12139,1,1454150100
120.57302,24.20159,1,1454147100
120.57314,24.13081,1,1454133000
120.57657,23.95775,1,1454133300
120.57669,24.11907,1,1454150100
120.57831,24.21670,1,1454147100
120.57926,24.07763,1,1454149200
120.58022,24.17465,1,1454132100
120.58022,24.17465,1,1454147100
120.58046,24.20155,2,1454147100
120.58219,24.08500,1,1454130300
120.58355,24.11129,1,1454147700
120.58355,24.11129,3,1454151000
120.58599,24.05174,1,1454131200
120.58687,24.18121,1,1454132400
120.58687,24.18121,1,1454150700
120.58900,24.26530,1,1454133600
120.58929,24.08092,2,1454147700
120.59277,24.19227,1,1454131800
120.59504,24.08463,1,1454145300
120.59518,24.10925,1,1454149500
120.59518,24.10925,1,1454150100
120.59550,23.89870,1,1454131200
120.59673,24.24983,1,1454149200
120.59908,24.27790,1,1454149200
120.59946,24.17434,1,1454131500
120.60026,24.08761,1,1454132700
120.60026,24.08761,1,1454147700
120.60053,24.07997,1,1454132700
120.60066,24.28758,3,1454146500
120.60066,24.28758,1,1454151000
120.60110,24.18291,1,1454132400
120.60256,24.08982,2,1454147700
120.60256,24.08982,1,1454149800
120.60445,24.11040,1,1454130600
120.60445,24.11040,1,1454131200
120.60445,24.11040,2,1454131800
120.60445,24.11040,1,1454132400
120.60445,24.11040,1,1454148900
120.60445,24.11040,1,1454150100
120.60460,24.24139,1,1454149500
120.60520,24.19870,1,1454147100
120.60583,24.11589,2,1454131500
120.60809,24.24679,1,1454149500
120.60953,24.27569,1,1454132100
120.60994,24.13117,1,1454150100
120.61120,23.98038,1,1454146800
120.61120,23.98038,1,1454151300
120.61375,24.11481,1,1454131800
120.61375,24.11481,1,1454148300
120.61375,24.11481,1,1454150100
120.61385,24.22223,1,1454132100
120.61423,24.15329,1,1454149800
120.61665,24.13107,1,1454132100
120.61665,24.13107,1,1454149800
120.61726,24.11148,1,1454148300
120.61749,24.15339,1,1454131500
120.61749,24.15339,1,1454147700
120.61749,24.15339,1,1454148000
120.61749,24.15339,1,1454149800
120.61831,24.10617,1,1454133600
120.61866,24.18851,1,1454151000
120.61903,24.17992,1,1454130600
120.61903,24.17992,1,1454150700
120.61989,24.18052,1,1454130000
120.61989,24.18052,1,1454130600
120.61989,24.18052,2,1454131200
120.61989,24.18052,3,1454131800
120.61989,24.18052,1,1454150100
120.61989,24.18052,1,1454150700
120.62030,24.12670,1,1454150100
120.62103,24.18411,1,1454131200
120.62197,24.14092,1,1454130600
120.62197,24.14092,1,1454131800
120.62219,24.14957,1,1454147700
120.62219,24.14957,1,1454148000
120.62219,24.14957,1,1454149800
120.62263,24.17630,1,1454130300
120.62263,24.17630,1,1454131500
120.62263,24.17630,1,1454132100
120.62263,24.17630,1,1454150400
120.62264,24.14863,1,1454149800
120.62299,24.19106,1,1454133000
120.62299,24.19106,1,1454144400
120.62399,24.13588,1,1454149800
120.62451,24.18006,1,1454130600
120.62451,24.18006,1,1454131200
120.62451,24.18006,3,1454131800
120.62451,24.18006,1,1454150700
120.62582,24.11058,1,1454148000
120.62701,24.16055,1,1454130600
120.62701,24.16055,2,1454131800
120.62701,24.16055,1,1454150700
120.62862,24.17550,1,1454131500
120.62862,24.17550,1,1454149800
120.62862,24.17550,1,1454151000
120.62968,24.33586,1,1454146500
120.63009,24.12265,1,1454148000
120.63014,24.15167,1,1454130300
120.63014,24.15167,1,1454130900
120.63014,24.15167,1,1454131500
120.63023,24.32717,1,1454146500
120.63096,24.14450,1,1454150400
120.63150,24.20052,1,1454144700
120.63150,24.20052,1,1454148000
120.63150,24.20052,1,1454150400
120.63262,24.17255,1,1454147400
120.63298,24.20999,1,1454135700
120.63438,24.15779,1,1454131800
120.63480,24.23684,1,1454149800
120.63518,24.17386,1,1454149800
120.63521,24.33289,1,1454146500
120.63521,24.33289,1,1454151000
120.63536,24.14630,1,1454130600
120.63695,24.34001,1,1454132400
120.63695,24.34001,1,1454151300
120.63721,24.34264,2,1454146500
120.63731,24.17211,1,1454132100
120.63755,24.26054,1,1454144100
120.63761,24.18090,1,1454131800
120.63761,24.18090,1,1454133000
120.63779,24.13424,1,1454148000
120.63819,24.18575,1,1454150700
120.63849,24.16896,1,1454131500
120.63849,24.16896,1,1454132100
120.63849,24.16896,1,1454132700
120.63849,24.16896,1,1454148000
120.63983,24.17561,1,1454148900
120.64135,24.14614,1,1454150700
120.64187,24.18208,1,1454147400
120.64231,24.19005,3,1454131800
120.64231,24.19005,1,1454133000
120.64231,24.19005,1,1454146200
120.64231,24.19005,2,1454149500
120.64231,24.19005,1,1454150700
120.64359,24.13565,1,1454149500
120.64382,24.15992,1,1454131800
120.64425,24.05921,1,1454148000
120.64512,24.06316,1,1454148000
120.64524,24.17670,1,1454149200
120.64667,24.20033,1,1454133000
120.64667,24.20033,2,1454147400
120.64667,24.20033,1,1454148300
120.64667,24.20033,2,1454148900
120.64667,24.20033,1,1454149500
120.64678,24.13142,1,1454150400
120.64688,24.35462,2,1454146500
120.64688,24.35462,1,1454151000
120.64709,24.26755,1,1454146200
120.64714,24.16608,1,1454131800
120.64860,24.16051,1,1454131800
120.64868,24.18852,1,1454149800
120.64977,24.11792,1,1454131800
120.64993,24.12215,1,1454148000
120.65097,24.16256,1,1454131800
120.65148,24.20836,3,1454131800
120.65148,24.20836,3,1454132400
120.65148,24.20836,3,1454133000
120.65148,24.20836,1,1454149500
120.65175,24.16334,1,1454131800
120.65175,24.16334,1,1454148300
120.65194,24.13774,1,1454150700
120.65239,24.40428,1,1454133000
120.65239,24.40428,3,1454146200
120.65239,24.40428,1,1454150100
120.65305,24.15925,1,1454148300
120.65341,24.14221,1,1454150700
120.65379,24.21848,1,1454149500
120.65418,24.37987,1,1454131500
120.65456,24.33109,1,1454143800
120.65459,24.11336,1,1454149500
120.65522,24.23503,1,1454144100
120.65525,24.15861,1,1454149800
120.65594,24.20029,1,1454130300
120.65594,24.20029,2,1454132100
120.65630,24.16017,1,1454148300
120.65713,24.14113,1,1454130900
120.65901,24.19164,2,1454133300
120.65968,24.27254,1,1454132100
120.65993,24.19430,1,1454130000
120.65993,24.19430,1,1454149500
120.65999,24.09558,1,1454148300
120.66093,24.20610,1,1454149500
120.66187,24.11683,1,1454148900
120.66187,24.11683,1,1454149500
120.66206,24.05487,1,1454148000
120.66224,24.01701,1,1454150100
120.66272,24.18841,1,1454130000
120.66287,24.07353,2,1454148300
120.66289,24.06638,1,1454148000
120.66300,24.06640,1,1454132400
120.66300,24.27210,1,1454133000
120.66300,24.27210,1,1454148300
120.66313,24.40132,1,1454150100
120.66447,24.32222,1,1454132100
120.66447,24.32222,1,1454146500
120.66537,24.30631,1,1454144700
120.66756,24.19137,1,1454150100
120.66756,24.19137,1,1454151300
120.66756,24.41875,1,1454150700
120.66804,24.38058,1,1454131500
120.66804,24.38058,1,1454133300
120.66804,24.38058,1,1454143800
120.66804,24.38058,1,1454148000
120.66804,24.38058,1,1454148600
120.66822,24.21152,2,1454131800
120.66822,24.21152,1,1454146200
120.66822,24.21152,1,1454149500
120.66998,24.11194,3,1454148600
120.67015,24.11833,1,1454148900
120.67046,24.17851,1,1454131200
120.67149,24.11592,1,1454148900
120.67333,24.25361,1,1454144100
120.67411,24.14760,2,1454150100
120.67464,24.10895,1,1454148600
120.67464,24.10895,1,1454149800
120.67565,24.21524,1,1454146200
120.67625,24.40449,1,1454146200
120.67672,24.14256,2,1454130300
120.67713,24.14479,1,1454130600
120.67745,24.26434,1,1454149200
120.67863,24.22367,2,1454132100
120.67863,24.22367,1,1454133600
120.67915,24.00867,1,1454150100
120.67951,24.11481,1,1454148900
120.67955,24.13901,1,1454130300
120.68025,24.14475,2,1454130300
120.68087,24.08143,1,1454148300
120.68156,24.36396,1,1454144400
120.68159,24.08505,1,1454148300
120.68161,24.34200,1,1454146200
120.68161,24.34200,1,1454148300
120.68161,24.34200,1,1454150700
120.68189,24.41808,1,1454146200
120.68189,24.41808,1,1454148300
120.68201,23.77934,1,1454130900
120.68230,24.21603,1,1454132400
120.68230,24.21603,1,1454146800
120.68230,24.21603,1,1454148300
120.68230,24.21603,1,1454149500
120.68339,24.01973,1,1454130600
120.68339,24.01973,1,1454150100
120.68365,24.13786,1,1454130000
120.68365,24.13786,1,1454130600
120.68433,24.12129,1,1454150100
120.68466,24.32762,1,1454131500
120.68466,24.32762,1,1454146500
