"lon","lat","weight","interval"
121.52458,25.05685,1,1454144400
121.52478,25.05057,2,1454144400
121.52497,25.04597,1,1454144400
121.53623,25.04552,4,1454144400
121.52524,25.05489,2,1454144400
121.39501,24.95199,1,1454144400
121.52546,25.00274,1,1454144400
121.40220,25.07936,2,1454144400
121.53547,24.98563,1,1454144400
121.53537,24.98422,2,1454144400
121.53518,25.08345,1,1454144400
121.52564,25.06483,1,1454144400
121.52570,25.06095,1,1454144400
121.52570,25.09240,2,1454144400
121.53501,25.05185,2,1454144400
121.53500,25.01250,1,1454144400
121.53481,24.98609,1,1454144400
121.20099,24.96351,1,1454144400
121.52639,25.08795,1,1454144400
121.52671,25.05169,4,1454144400
121.58562,25.05910,1,1454144400
121.53467,25.02690,1,1454144400
121.53467,25.02578,2,1454144400
121.52691,25.06463,1,1454144400
121.53466,25.01416,2,1454144400
121.52714,25.05707,2,1454144400
121.40460,25.10975,1,1454144400
121.53449,25.01153,1,1454144400
121.52724,25.03254,2,1454144400
121.52742,25.06698,1,1454144400
121.52745,25.04095,1,1454144400
121.40704,25.03955,1,1454144400
121.53446,25.07891,1,1454144400
121.52769,25.10116,1,1454144400
121.52795,25.04714,1,1454144400
121.40868,25.01948,1,1454144400
121.53445,25.01449,2,1454144400
121.52823,25.04867,1,1454144400
121.52834,25.05231,1,1454144400
121.52866,25.01700,1,1454144400
121.53421,25.04447,2,1454144400
121.52899,25.01987,3,1454144400
121.52900,25.04371,2,1454144400
121.52902,25.05724,1,1454144400
121.53400,25.01403,3,1454144400
121.58451,25.04802,1,1454144400
121.52903,25.03394,1,1454144400
121.52958,25.05186,1,1454144400
121.52999,25.04277,2,1454144400
121.53007,25.05985,1,1454144400
121.53042,25.04286,1,1454144400
121.53050,25.05817,1,1454144400
121.40869,24.97970,1,1454144400
121.20147,24.94714,1,1454144400
121.53371,25.05293,1,1454144400
121.53057,25.04781,5,1454144400
121.20156,24.94373,5,1454144400
121.53092,25.04559,1,1454144400
121.53104,25.02180,1,1454144400
121.53118,25.12539,2,1454144400
121.53171,25.04530,7,1454144400
121.53347,25.06471,1,1454144400
121.53229,25.01681,1,1454144400
121.53235,25.03764,1,1454144400
121.58320,25.06455,1,1454144400
121.53243,25.09976,1,1454144400
121.53255,25.04403,2,1454144400
121.53283,25.05779,1,1454144400
121.41393,25.04887,2,1454144400
121.53305,25.05100,4,1454144400
121.53323,25.04934,4,1454144400
121.53323,25.05483,3,1454144400
121.53325,25.02206,1,1454144400
121.53330,25.04915,3,1454144400
121.41400,25.07615,1,1454144400
121.41440,25.00028,1,1454144400
121.58202,25.04467,1,1454144400
121.41710,25.00740,1,1454144400
121.41766,24.98354,1,1454144400
121.20473,24.95930,5,1454144400
121.20487,24.95188,3,1454144400
121.20503,24.96447,3,1454144400
121.57919,25.05002,1,1454144400
121.41970,24.98108,1,1454144400
121.20504,24.95173,2,1454144400
121.57838,25.04934,1,1454144400
121.42135,25.04007,1,1454144400
121.42153,24.98778,1,1454144400
121.42161,25.06723,5,1454144400
121.42171,24.99764,1,1454144400
121.57803,25.04531,1,1454144400
121.42190,24.97824,1,1454144400
121.20677,24.95664,2,1454144400
121.42194,25.04139,1,1454144400
121.42388,25.09035,1,1454144400
121.42728,24.96017,1,1454144400
121.42773,25.03013,1,1454144400
121.42949,25.00091,1,1454144400
121.43021,25.07178,1,1454144400
121.43030,25.08945,1,1454144400
121.43149,25.04788,1,1454144400
121.57664,25.07424,1,1454144400
121.57594,25.07647,1,1454144400
121.43200,25.05375,1,1454144400
121.62300,25.03470,1,1454144400
121.20839,24.96243,1,1454144400
121.57567,25.06365,1,1454144400
121.43222,25.09022,1,1454144400
121.57564,25.07367,1,1454144400
121.43252,25.02793,1,1454144400
121.43253,25.02259,1,1454144400
121.57491,25.06972,1,1454144400
121.43298,25.06142,1,1454144400
121.43369,24.96145,1,1454144400
121.57487,25.07808,1,1454144400
121.43376,25.07204,2,1454144400
121.43486,25.06767,1,1454144400
121.43661,25.05118,1,1454144400
121.57385,25.02960,1,1454144400
121.57319,25.07888,1,1454144400
121.43845,25.06372,2,1454144400
121.44166,25.17605,1,1454144400
121.21696,24.96584,1,1454144400
121.57297,25.06339,1,1454144400
121.44490,25.17967,1,1454144400
121.57178,25.04694,1,1454144400
121.57172,25.07612,1,1454144400
121.44547,24.99664,1,1454144400
121.44550,25.16935,1,1454144400
121.44559,25.16935,1,1454144400
121.44672,25.05696,1,1454144400
121.44776,25.04696,1,1454144400
121.44792,25.04891,1,1454144400
121.22371,24.97438,1,1454144400
121.45032,25.03608,1,1454144400
121.56997,25.04560,1,1454144400
121.45054,25.03585,1,1454144400
121.45134,25.05078,1,1454144400
121.45158,25.01305,1,1454144400
121.45193,25.03893,1,1454144400
121.45332,25.07145,1,1454144400
121.45336,25.04391,1,1454144400
121.56865,25.04072,1,1454144400
121.45340,25.06354,2,1454144400
121.45400,25.12450,1,1454144400
121.56813,25.04522,2,1454144400
121.56805,25.03522,1,1454144400
121.45556,25.05303,1,1454144400
121.45609,25.01762,1,1454144400
121.23116,25.07660,1,1454144400
121.45610,25.06524,1,1454144400
121.45755,25.06474,1,1454144400
121.45766,25.02342,1,1454144400
121.23397,25.07827,1,1454144400
121.56715,25.06705,2,1454144400
121.45840,25.04416,1,1454144400
121.45856,25.11455,1,1454144400
121.56706,25.04688,3,1454144400
121.56697,25.08232,1,1454144400
121.45990,25.00506,1,1454144400
121.46088,25.02567,1,1454144400
121.46091,25.03882,1,1454144400
121.61547,25.06688,2,1454144400
121.56696,25.04626,3,1454144400
121.46097,25.00885,1,1454144400
121.46122,25.04470,1,1454144400
121.46167,25.15507,1,1454144400
121.46189,25.01514,1,1454144400
121.46197,25.01243,2,1454144400
121.56674,25.04481,5,1454144400
121.56622,25.11331,2,1454144400
121.56554,25.08081,1,1454144400
121.46261,25.01036,1,1454144400
121.46308,25.02202,1,1454144400
121.25022,24.88162,1,1454144400
121.56515,25.04200,2,1454144400
121.46344,24.99894,1,1454144400
121.46391,25.08165,1,1454144400
121.46401,24.98752,1,1454144400
121.25330,25.00135,1,1454144400
121.56512,25.07967,1,1454144400
121.46414,25.03125,1,1454144400
121.46420,25.00998,1,1454144400
121.46447,25.12211,1,1454144400
121.56492,25.05007,1,1454144400
121.46457,25.00475,1,1454144400
121.46501,25.01843,1,1454144400
121.56472,25.04102,1,1454144400
121.56460,25.05888,1,1454144400
121.46554,25.01224,1,1454144400
121.46575,25.04191,2,1454144400
121.46659,25.00820,1,1454144400
121.56387,25.08245,1,1454144400
121.46668,25.02065,2,1454144400
121.46684,25.01592,1,1454144400
121.56347,25.08561,2,1454144400
121.46695,25.04626,1,1454144400
121.56327,25.07027,1,1454144400
