"lon","lat","weight","interval"
118.22109,24.42093,1,1454475900
118.22109,24.42093,1,1454478300
118.22109,24.42093,1,1454479200
118.22109,24.42093,1,1454481300
118.22109,24.42093,1,1454484300
118.22109,24.42093,1,1454486400
118.22109,24.42093,1,1454487600
118.22109,24.42093,1,1454489100
118.22109,24.42093,1,1454489400
118.22109,24.42093,1,1454489700
118.22109,24.42093,1,1454493300
119.55506,23.53272,1,1454484300
119.55506,23.53272,1,1454488200
119.55506,23.53272,1,1454488800
119.55506,23.53272,1,1454493000
119.55506,23.53272,1,1454493300
119.56468,23.56393,1,1454478000
119.56468,23.56393,1,1454478900
119.56468,23.56393,1,1454482500
119.56468,23.56393,1,1454484300
119.56468,23.56393,1,1454484600
119.56468,23.56393,1,1454488200
119.56468,23.56393,1,1454488800
119.56468,23.56393,1,1454489400
119.56468,23.56393,1,1454493000
119.56591,23.56666,1,1454475600
119.56828,23.56727,1,1454475600
119.57112,23.56969,1,1454478000
119.57112,23.56969,1,1454479200
119.57112,23.56969,1,1454481600
119.57112,23.56969,1,1454482800
119.57112,23.56969,1,1454483100
119.57112,23.56969,1,1454483400
119.57112,23.56969,1,1454485200
119.57112,23.56969,1,1454486400
119.57112,23.56969,1,1454486700
119.57112,23.56969,1,1454488800
119.57112,23.56969,2,1454492400
119.57124,23.57207,1,1454486700
119.57124,23.57207,2,1454488800
119.58046,23.55972,1,1454493000
120.13069,23.06379,1,1454475600
120.15399,23.17930,1,1454476500
120.15427,22.99905,1,1454485500
120.15552,23.65956,1,1454477700
120.15611,23.65111,1,1454476500
120.15611,23.65111,1,1454477400
120.15611,23.65111,1,1454477700
120.15611,23.65111,1,1454481600
120.15611,23.65111,1,1454481900
120.15611,23.65111,1,1454491500
120.15777,23.19386,1,1454476200
120.15777,23.19386,1,1454476500
120.15869,23.20043,1,1454476500
120.15869,23.20043,1,1454479800
120.15869,23.20043,1,1454480100
120.15869,23.20043,1,1454480400
120.15869,23.20043,1,1454480700
120.15869,23.20043,1,1454481300
120.15869,23.20043,1,1454484900
120.15869,23.20043,1,1454488500
120.15869,23.20043,1,1454492100
120.16197,23.37841,1,1454476800
120.16197,23.37841,1,1454480400
120.16267,22.98945,1,1454488800
120.16352,23.61341,1,1454491500
120.16553,22.99729,1,1454481300
120.16553,22.99729,1,1454482200
120.16981,23.00094,1,1454482200
120.16981,23.00094,1,1454484900
120.17236,23.63764,1,1454476500
120.17236,23.63764,1,1454477400
