"lon","lat","weight","interval"
121.48158,25.10570,4,1454212800
121.48544,25.12234,14,1454212800
121.48954,25.02748,60,1454212800
121.49194,25.09885,6,1454212800
121.49581,25.01727,32,1454212800
121.49847,25.14399,1,1454212800
121.50157,25.12004,1,1454212800
121.50376,25.04441,66,1454212800
121.51076,25.07207,4,1454212800
121.51402,25.05678,48,1454212800
121.51464,25.03161,11,1454212800
121.51474,25.09303,2,1454212800
121.51563,25.05136,3,1454212800
121.51696,25.02805,1,1454212800
121.51742,25.04737,6,1454212800
121.51772,25.10553,2,1454212800
121.51833,25.05140,7,1454212800
121.51860,25.10861,3,1454212800
121.51869,25.06268,3,1454212800
121.51887,25.07144,2,1454212800
121.51944,25.05301,1,1454212800
121.51950,25.04830,8,1454212800
121.52165,25.04475,4,1454212800
121.52256,25.06651,3,1454212800
121.52267,25.05400,1,1454212800
121.52267,25.05879,8,1454212800
121.52377,25.06031,1,1454212800
121.52478,25.05057,7,1454212800
121.52701,25.14418,1,1454212800
121.52705,25.08909,1,1454212800
121.52764,25.10186,1,1454212800
121.52842,25.09545,1,1454212800
121.52923,25.01830,1,1454212800
121.52999,25.04277,2,1454212800
121.53046,25.11809,1,1454212800
121.53057,25.04781,3,1454212800
121.53159,25.12281,2,1454212800
121.53467,25.02578,3,1454212800
121.53726,25.03975,1,1454212800
121.53838,25.00778,1,1454212800
121.53908,25.16895,1,1454212800
121.53938,25.13365,1,1454212800
121.54066,25.05251,1,1454212800
121.54089,25.06042,1,1454212800
121.54289,25.05719,2,1454212800
121.54349,25.04127,1,1454212800
121.54383,25.05918,1,1454212800
121.54387,24.99215,6,1454212800
121.54409,25.06446,2,1454212800
121.54439,25.04439,3,1454212800
121.54710,25.06030,1,1454212800
121.54731,24.98405,1,1454212800
121.54740,25.15720,1,1454212800
121.54921,25.06224,1,1454212800
121.55062,25.05978,1,1454212800
121.55103,25.07769,1,1454212800
121.55251,25.07357,1,1454212800
121.55422,25.04986,1,1454212800
121.55487,25.01429,4,1454212800
121.55668,25.08016,1,1454212800
121.55978,25.05658,1,1454212800
121.56061,25.06083,2,1454212800
121.56090,24.99280,1,1454212800
121.56327,25.06163,2,1454212800
121.56327,25.07027,22,1454212800
