a.log,a.lat,weight,timest
121.48158,25.10570,1,1484971200
121.48544,25.12234,11,1484971200
121.49194,25.09885,12,1484971200
121.49581,25.01727,30,1484971200
121.50071,25.02721,2,1484971200
121.50157,25.12004,2,1484971200
121.50183,25.04030,2,1484971200
121.50260,25.13815,2,1484971200
121.50376,25.04441,16,1484971200
121.50690,25.03544,5,1484971200
121.50826,25.12004,1,1484971200
121.50914,25.02329,11,1484971200
121.50945,25.13645,1,1484971200
121.51402,25.05678,29,1484971200
121.51464,25.03161,4,1484971200
121.51474,25.09303,2,1484971200
121.51563,25.05136,6,1484971200
121.51667,25.05607,1,1484971200
121.51742,25.04737,2,1484971200
121.51833,25.05140,1,1484971200
121.51887,25.07144,4,1484971200
121.51950,25.04830,3,1484971200
121.52165,25.04475,2,1484971200
121.52256,25.06651,1,1484971200
121.52267,25.05879,6,1484971200
121.52478,25.05057,2,1484971200
121.52564,25.05385,1,1484971200
121.52625,25.02961,1,1484971200
121.52701,25.14418,4,1484971200
121.52842,25.09545,1,1484971200
121.53046,25.11809,1,1484971200
121.53291,25.03602,1,1484971200
121.53337,25.06018,1,1484971200
121.53467,25.02578,2,1484971200
121.54089,25.06042,2,1484971200
121.54218,24.99717,1,1484971200
121.54349,25.04127,1,1484971200
121.54387,24.99215,1,1484971200
121.54481,24.99857,1,1484971200
121.54731,24.98405,2,1484971200
121.54740,25.15720,1,1484971200
121.54921,25.06224,1,1484971200
121.55062,25.05978,1,1484971200
121.55254,25.01921,2,1484971200
121.55398,25.00015,1,1484971200
121.55421,25.06223,1,1484971200
121.55487,25.01429,2,1484971200
121.55978,25.05658,2,1484971200
121.55984,25.03353,1,1484971200
121.57491,25.06972,1,1484971200
121.57838,25.04934,5,1484971200
121.58489,25.05668,1,1484971200
121.58894,25.08152,2,1484971200
121.59574,25.07156,1,1484971200
121.60127,25.12090,1,1484971200
121.61520,25.04485,2,1484971200
121.61716,25.04100,1,1484971200
121.46877,25.13442,21,1484971200
121.47172,25.12942,2,1484971200
121.49406,25.03042,9,1484971200
121.49443,25.03627,18,1484971200
121.50032,25.09277,41,1484971200
121.50517,25.03384,1,1484971200
121.50539,25.09311,1,1484971200
121.50569,25.04530,3,1484971200
121.50571,25.03332,1,1484971200
121.50571,25.08937,7,1484971200
121.50756,25.04199,3,1484971200
121.50812,25.04107,3,1484971200
121.50880,25.04289,2,1484971200
121.50970,25.08407,1,1484971200
121.50992,25.05616,23,1484971200
121.50994,25.05836,45,1484971200
121.51012,25.11204,1,1484971200
121.51015,25.11272,1,1484971200
121.51101,25.06432,3,1484971200
121.51556,25.02756,27,1484971200
121.51578,25.03102,1,1484971200
121.51785,25.03419,1,1484971200
121.51851,25.07241,10,1484971200
121.52102,25.05228,1,1484971200
121.52136,25.08956,1,1484971200
121.52305,25.06823,1,1484971200
121.52404,25.03600,2,1484971200
121.52413,25.02405,1,1484971200
121.52570,25.06095,2,1484971200
121.52586,25.09045,1,1484971200
121.53201,25.07127,1,1484971200
121.53303,25.04222,3,1484971200
121.53449,25.01153,8,1484971200
121.53469,25.06019,1,1484971200
121.53501,25.05185,1,1484971200
121.53602,24.99618,74,1484971200
121.53655,25.06439,5,1484971200
121.53718,25.00289,1,1484971200
121.53733,25.06453,1,1484971200
121.53968,24.99009,25,1484971200
121.54026,25.05162,1,1484971200
121.54053,24.99637,1,1484971200
121.54529,25.10665,6,1484971200
121.54847,25.02080,1,1484971200
121.54886,25.04124,1,1484971200
121.55870,24.98857,2,1484971200
121.56763,25.05737,1,1484971200
121.56908,24.98848,1,1484971200
121.56945,25.05014,1,1484971200
121.57115,24.99078,1,1484971200
121.57840,24.98597,1,1484971200
121.58004,25.06618,2,1484971200
121.58062,25.10185,1,1484971200
121.58203,25.09051,1,1484971200
121.58337,25.07767,1,1484971200
121.58562,25.05910,5,1484971200
121.58581,25.00569,2,1484971200
121.58592,25.08362,1,1484971200
121.58931,25.06331,2,1484971200
121.60089,25.06686,1,1484971200
121.60197,25.07384,1,1484971200
121.60318,25.06237,2,1484971200
121.60671,25.05561,1,1484971200
121.60934,25.07412,1,1484971200
121.61010,25.03317,1,1484971200
121.61650,25.05214,8,1484971200
121.61898,25.05687,13,1484971200
121.61939,25.07263,2,1484971200
121.62057,25.04176,4,1484971200
121.47351,25.12536,1,1484971200
121.48888,25.03207,32,1484971200
121.49605,25.03321,1,1484971200
121.49894,25.13041,1,1484971200
121.50135,25.03780,13,1484971200
121.50164,25.03536,1,1484971200
121.50234,25.04161,10,1484971200
121.50744,25.08761,27,1484971200
121.50896,25.05414,35,1484971200
121.51000,25.05628,49,1484971200
121.51043,25.03959,1,1484971200
121.51066,25.06935,20,1484971200
121.51100,25.02420,1,1484971200
121.51128,25.04529,5,1484971200
121.51279,25.05397,29,1484971200
121.51583,25.12278,1,1484971200
121.51618,25.06834,2,1484971200
121.51677,25.06423,1,1484971200
121.51771,25.03369,12,1484971200
121.51915,25.02902,2,1484971200
121.52108,25.09386,2,1484971200
121.52197,25.06018,1,1484971200
121.52329,25.02551,110,1484971200
121.52415,25.08775,1,1484971200
121.52671,25.05169,1,1484971200
121.52692,25.02161,1,1484971200
121.53009,25.06107,1,1484971200
121.53042,25.04286,2,1484971200
121.53365,25.11707,1,1484971200
121.53449,25.01154,4,1484971200
121.53561,25.11192,1,1484971200
121.53902,25.05342,4,1484971200
121.53944,25.06781,2,1484971200
121.54034,24.99135,7,1484971200
121.54147,25.03769,1,1484971200
121.54580,24.98904,16,1484971200
121.54612,25.02722,1,1484971200
121.54824,25.15138,1,1484971200
121.54931,25.03638,1,1484971200
121.54975,25.05564,1,1484971200
121.55747,25.04106,1,1484971200
121.55803,25.04830,1,1484971200
121.56033,25.01955,1,1484971200
121.56064,25.03327,1,1484971200
121.57317,25.04122,1,1484971200
121.57457,25.07306,1,1484971200
121.58144,25.00895,3,1484971200
121.58986,25.07055,2,1484971200
121.59393,25.05016,1,1484971200
