"lon","lat","weight","interval"
121.47296,25.12830,1,1484971200
121.48158,25.10570,3,1484971200
121.48461,25.13985,1,1484971200
121.48544,25.12234,7,1484971200
121.49194,25.09885,23,1484971200
121.49581,25.01727,23,1484971200
121.50064,25.02337,1,1484971200
121.50071,25.02721,2,1484971200
121.50157,25.12004,5,1484971200
121.50183,25.04030,1,1484971200
121.50260,25.13815,1,1484971200
121.50287,25.12933,1,1484971200
121.50376,25.04441,8,1484971200
121.50672,25.04292,6,1484971200
121.50690,25.03544,7,1484971200
121.50826,25.12004,1,1484971200
121.50914,25.02329,5,1484971200
121.50945,25.13645,1,1484971200
121.51402,25.05678,41,1484971200
121.51464,25.03161,8,1484971200
121.51474,25.09303,5,1484971200
121.51563,25.05136,4,1484971200
121.51667,25.05607,3,1484971200
121.51696,25.02805,18,1484971200
121.51833,25.05140,1,1484971200
121.51869,25.06268,8,1484971200
121.51887,25.07144,7,1484971200
121.51944,25.05301,6,1484971200
121.51950,25.04830,17,1484971200
121.52165,25.04475,5,1484971200
121.52256,25.06651,1,1484971200
121.52267,25.05400,1,1484971200
121.52267,25.05879,10,1484971200
121.52478,25.05057,3,1484971200
121.52498,25.04961,1,1484971200
121.52537,25.05655,1,1484971200
121.52625,25.02961,1,1484971200
121.52701,25.14418,1,1484971200
121.52705,25.08909,1,1484971200
121.52842,25.09545,1,1484971200
121.52867,25.11304,1,1484971200
121.53046,25.11809,1,1484971200
121.53057,25.04781,2,1484971200
121.53159,25.12281,1,1484971200
121.53176,25.10534,1,1484971200
121.53233,25.05197,1,1484971200
121.53337,25.06018,1,1484971200
121.53467,25.02578,2,1484971200
121.53892,25.02541,1,1484971200
121.53938,25.13365,1,1484971200
121.54089,25.06042,1,1484971200
121.54218,24.99717,1,1484971200
121.54349,25.04127,2,1484971200
121.54439,25.04439,1,1484971200
121.54481,24.99857,2,1484971200
121.54683,25.05551,2,1484971200
121.54731,24.98405,5,1484971200
121.55398,25.00015,1,1484971200
