"weight","lon","lat","interval"
1,121.01748,24.83032,07
1,121.40818,25.15769,07
1,121.44141,25.00499,07
5,121.49940,25.03613,07
1,121.50164,25.03536,07
13,121.51686,25.05065,07
1,120.26166,23.75050,08
1,120.30272,22.65058,08
8,120.49335,23.86682,08
2,120.51267,23.87606,08
1,120.67694,24.15612,08
3,120.68161,24.34200,08
3,120.76218,24.55628,08
1,120.86263,24.65558,08
3,120.96379,24.79123,08
13,120.98668,24.80317,08
6,121.07826,24.91253,08
10,121.08167,24.76678,08
18,121.18085,24.92792,08
1,121.18119,24.90064,08
10,121.18583,24.95984,08
3,121.18706,24.85458,08
6,121.22374,24.92762,08
11,121.24614,25.10450,08
16,121.35308,25.08184,08
24,121.36430,25.07286,08
1,121.36528,24.90104,08
15,121.36705,25.03028,08
23,121.39010,24.95959,08
12,121.40870,25.02997,08
20,121.40932,25.07262,08
15,121.44835,25.12669,08
15,121.46060,24.97628,08
31,121.47011,25.02589,08
11,121.49966,25.12243,08
167,121.51350,25.07284,08
99,121.52456,25.10399,08
21,121.52833,25.10725,08
40,121.54422,25.04778,08
21,121.55637,25.02158,08
2,121.56405,25.04062,08
34,121.56693,25.05151,08
20,121.64595,25.06195,08
2,121.77090,24.65480,08
1,120.17591,23.06961,09
1,120.21265,23.81817,09
1,120.24145,22.95413,09
1,120.31247,22.66713,09
1,120.44825,24.15581,09
4,120.53741,24.08912,09
10,120.64364,24.20233,09
7,120.65083,24.39019,09
1,120.91284,24.70810,09
3,121.10862,24.71595,09
3,121.12084,25.05528,09
19,121.12795,24.92111,09
48,121.20202,24.80889,09
10,121.22121,25.06851,09
5,121.22858,25.00055,09
2,121.29383,24.98892,09
17,121.41461,25.01400,09
22,121.47297,25.09397,09
30,121.48073,25.07971,09
14,121.49109,25.00408,09
55,121.49554,25.07219,09
5,121.50305,25.03595,09
92,121.51502,25.02988,09
88,121.51569,25.11775,09
31,121.52333,25.12069,09
3,121.56202,25.03228,09
62,121.56997,25.04560,09
71,121.59117,25.05523,09
50,121.62644,25.06205,09
1,121.73641,25.10021,09
3,120.28496,23.19930,10
1,120.36399,22.65456,10
3,120.49617,23.76001,10
2,120.52522,24.06156,10
1,120.52529,23.72073,10
1,120.53420,23.71403,10
1,120.56056,23.58576,10
3,120.56956,24.24009,10
1,120.61098,24.13988,10
7,120.63983,24.17561,10
1,120.69490,24.17932,10
1,120.80196,24.49139,10
2,120.80877,24.64317,10
1,120.81730,24.57368,10
1,120.85135,24.68024,10
2,120.96210,24.84417,10
2,120.96286,24.81069,10
1,120.97509,24.82086,10
1,121.00953,24.63367,10
30,121.38975,25.07754,10
23,121.42655,25.04547,10
16,121.44490,25.17967,10
40,121.51508,25.11478,10
544,121.52196,25.06018,10
61,121.54034,24.99135,10
26,121.54063,24.99312,10
147,121.54896,25.07272,10
87,121.55363,25.04752,10
1,121.56325,25.07697,10
8,121.56899,25.04005,10
2,121.59996,23.97649,10
21,121.65387,25.06009,10
2,120.29174,23.07825,11
1,120.29709,23.13261,11
2,120.33267,23.56076,11
24,120.33688,23.38104,11
1,120.38004,22.58890,11
1,120.41088,23.86198,11
1,120.47700,23.67270,11
1,120.53083,24.02056,11
2,120.61724,24.17508,11
6,120.63443,24.18264,11
2,120.69224,24.11799,11
3,120.72723,23.76151,11
1,120.99097,24.77450,11
11,121.01817,24.78284,11
2,121.02092,24.76015,11
13,121.13734,25.01107,11
1,121.15258,22.98418,11
2,121.18777,24.84448,11
7,121.20225,25.06460,11
2,121.20504,24.95173,11
3,121.23445,24.83819,11
8,121.29103,24.92838,11
46,121.44166,25.17605,11
79,121.48338,25.05822,11
5,121.48367,25.00862,11
148,121.51221,25.00642,11
56,121.51944,25.05301,11
140,121.52639,25.08795,11
211,121.54362,25.05205,11
15,121.54465,25.06257,11
187,121.55388,25.04348,11
2,121.55942,25.04986,11
27,121.58137,25.04300,11
3,121.60268,25.07398,11
15,121.68484,25.18842,11
1,121.72325,25.13612,11
2,121.78878,24.63582,11
2,121.99879,25.00381,11
1,120.23241,22.97318,12
1,120.25726,23.45455,12
1,120.29333,22.69011,12
1,120.34809,22.73368,12
1,120.49486,24.23178,12
4,120.53300,24.04510,12
3,120.66200,24.01700,12
9,120.77882,24.42772,12
1,120.79203,24.61668,12
4,120.82298,24.50151,12
1,120.85789,23.81397,12
1,120.94716,24.85016,12
3,121.16144,24.95652,12
2,121.17684,24.90662,12
15,121.19714,24.93051,12
2,121.27106,24.93809,12
1,121.34829,24.91512,12
87,121.45646,25.07050,12
16,121.47301,25.13130,12
56,121.49417,25.08592,12
538,121.49794,25.05614,12
112,121.50517,25.03384,12
2,121.52116,25.04624,12
83,121.52802,25.09653,12
10,121.53392,25.11643,12
5,121.54182,24.97795,12
6,121.54920,24.92123,12
31,121.56884,25.07924,12
8,121.58229,24.99739,12
25,121.61271,25.05508,12
1,121.72369,24.81561,12
4,121.73979,24.26520,12
8,121.79367,24.68034,12
1,119.56468,23.56393,13
1,120.22428,22.92492,13
4,120.26143,23.05537,13
1,120.29891,22.63671,13
1,120.35239,22.69022,13
1,120.42572,23.48406,13
1,120.49062,24.06892,13
2,120.49671,23.03169,13
1,120.56102,24.07639,13
1,120.57250,24.05670,13
3,120.63643,24.16531,13
2,120.66151,24.19665,13
1,120.67983,24.06983,13
1,120.82517,24.60480,13
24,121.31161,24.99196,13
8,121.43059,25.18566,13
1,121.44301,25.19772,13
8,121.47001,25.02729,13
91,121.48181,25.07192,13
4,121.49739,24.94620,13
21,121.52853,25.12647,13
45,121.53104,25.02180,13
1,121.55511,25.05506,13
30,121.57623,24.99940,13
4,121.75995,24.67825,13
2,121.77756,25.10345,13
2,121.77792,25.13954,13
1,120.33323,23.89662,14
1,120.48085,23.64928,14
1,120.53072,23.98805,14
3,120.53900,24.02440,14
1,120.55374,24.00761,14
1,120.65596,24.24988,14
1,120.72699,24.18481,14
17,120.78657,24.48807,14
1,121.01126,24.78088,14
4,121.22314,24.86555,14
1,121.22427,24.87094,14
5,121.30037,24.89389,14
15,121.35617,25.02412,14
3,121.48690,25.25823,14
30,121.49441,24.99819,14
326,121.50231,25.06423,14
228,121.50629,25.04525,14
71,121.53050,25.06501,14
8,121.54315,24.97433,14
2,121.54852,25.02141,14
36,121.58004,25.06371,14
4,121.58203,25.09051,14
14,121.61680,25.05490,14
9,121.65057,24.99853,14
2,121.82730,24.60870,14
7,120.29606,23.38340,15
3,120.54984,24.09488,15
11,120.58355,24.11129,15
2,120.63498,24.14152,15
30,120.92844,24.71378,15
39,121.01731,24.84450,15
8,121.03486,24.80914,15
1,121.23455,24.95398,15
6,121.27556,24.89875,15
15,121.41880,25.00686,15
90,121.49436,25.13754,15
40,121.50267,25.00753,15
2,121.51698,25.04145,15
40,121.53328,25.02201,15
68,121.53788,25.01049,15
138,121.54089,25.06042,15
85,121.55557,25.05814,15
42,121.56236,25.03329,15
10,121.56959,25.03460,15
46,121.57572,25.06557,15
5,121.80219,24.69549,15
10,120.30742,22.68825,16
1,120.35975,22.61201,16
1,120.60712,23.89208,16
2,120.62934,24.14778,16
5,120.66668,24.20150,16
1,120.72105,24.17955,16
2,120.78198,24.62289,16
4,120.91403,24.71148,16
2,120.95914,24.82093,16
27,121.00048,24.77144,16
4,121.18789,25.07818,16
506,121.38917,25.06639,16
28,121.40669,25.01800,16
15,121.46342,25.08431,16
107,121.53467,25.02578,16
31,121.54233,25.03319,16
1,121.54919,25.00677,16
10,121.55142,25.02178,16
2,121.55483,24.93287,16
14,121.55846,25.08068,16
20,121.56224,25.05072,16
19,121.57591,25.06734,16
25,121.65567,25.06625,16
2,121.71575,24.77800,16
5,121.72498,25.12208,16
5,121.94691,25.01723,16
1,120.29880,23.30427,17
1,120.30631,22.83509,17
1,120.51200,23.86550,17
5,120.57139,24.12139,17
6,120.65365,24.23083,17
1,120.65400,24.27870,17
1,120.82417,24.55538,17
2,120.82515,24.58742,17
6,120.95228,24.75281,17
2,121.00045,24.87071,17
19,121.01164,24.87244,17
1,121.09071,24.72104,17
1,121.12480,24.72473,17
45,121.36972,25.06103,17
10,121.40005,25.01695,17
27,121.41766,24.98354,17
31,121.45858,25.04628,17
172,121.46804,25.02203,17
32,121.49982,25.06269,17
12,121.53092,25.04559,17
3,121.55323,25.08027,17
7,121.55825,25.03562,17
20,121.58192,25.04910,17
7,121.74550,25.13163,17
6,121.78670,24.45914,17
1,121.81265,24.81500,17
1,119.95429,26.16347,18
1,120.16416,23.07095,18
1,120.28931,23.00186,18
1,120.34979,22.63513,18
14,120.56190,24.10472,18
1,120.63703,24.10761,18
1,120.66468,23.98983,18
1,120.68538,23.90591,18
1,120.71771,24.30931,18
4,120.76685,24.62003,18
2,120.87700,24.57947,18
19,120.91684,24.69471,18
1,120.96752,24.46917,18
2,121.02611,24.79805,18
1,121.02929,22.70350,18
14,121.15379,24.95254,18
9,121.26766,24.99110,18
3,121.29775,24.97647,18
26,121.42380,25.01253,18
7,121.42500,24.99870,18
39,121.46772,25.09427,18
4,121.49129,25.14530,18
82,121.49734,25.06655,18
66,121.50534,25.04034,18
3,121.51500,25.01282,18
105,121.54744,25.03234,18
1,121.54748,25.03282,18
2,121.56814,25.04522,18
5,121.56883,25.03617,18
2,121.57158,25.08491,18
12,121.60555,25.00165,18
4,121.61500,25.05707,18
16,121.65361,25.01679,18
1,121.68803,25.17574,18
15,121.74033,25.13096,18
3,121.74200,25.12846,18
2,121.77072,24.34256,18
8,121.79810,24.76970,18
1,120.28496,23.02227,19
2,120.29255,22.63199,19
8,120.49284,23.88966,19
2,120.57447,23.94990,19
2,120.57473,24.22978,19
3,120.71339,24.31128,19
1,120.90421,24.68827,19
1,120.96077,24.81558,19
1,120.96695,24.83692,19
15,121.29789,24.99956,19
16,121.31497,24.99618,19
24,121.43434,25.03178,19
76,121.45692,25.05101,19
58,121.48107,25.08786,19
21,121.50977,24.98979,19
603,121.51056,25.07956,19
887,121.51897,25.05311,19
54,121.52025,25.12155,19
60,121.52977,25.02873,19
1,121.53358,25.11784,19
57,121.54417,25.05397,19
10,121.56798,25.03827,19
64,121.58034,25.05769,19
3,121.59125,25.08986,19
9,121.66503,25.07502,19
5,121.69736,25.15465,19
8,121.74632,25.13509,19
4,120.54669,23.61036,20
9,120.63438,24.15779,20
2,120.68091,24.16328,20
4,120.68584,24.23064,20
9,120.85121,24.57221,20
28,120.92849,24.70828,20
1,120.96114,24.79605,20
1,121.02331,24.86852,20
1,121.04416,24.75065,20
51,121.20473,24.95930,20
5,121.22727,24.97120,20
14,121.28440,25.03874,20
2,121.28917,24.97413,20
4,121.32317,24.97561,20
3,121.32524,24.88583,20
35,121.47008,25.08386,20
149,121.50696,25.08480,20
27,121.52890,24.97267,20
70,121.52900,25.04371,20
10,121.53571,25.09904,20
41,121.54324,25.04218,20
1,121.56142,25.13353,20
3,121.57840,24.98597,20
2,121.62071,24.15948,20
15,121.63728,25.07925,20
4,121.70950,25.14227,20
4,121.75510,24.74000,20
1,121.81140,24.69890,20
1,121.83960,24.87660,20
2,120.29975,23.30800,21
1,120.30181,22.66391,21
1,120.34369,23.55561,21
4,120.34531,23.66472,21
1,120.43239,23.48560,21
3,120.51391,23.72195,21
8,120.61608,24.10537,21
4,120.64105,24.15003,21
1,120.66702,24.11847,21
3,120.87306,24.70339,21
1,121.11820,22.75370,21
4,121.23439,24.93504,21
8,121.24804,24.94521,21
3,121.26997,24.93411,21
4,121.37678,24.92885,21
1,121.43066,25.00067,21
99,121.45890,25.00873,21
36,121.46017,25.01914,21
26,121.47092,25.01574,21
62,121.49089,25.00591,21
49,121.49443,25.03627,21
99,121.53159,25.12281,21
80,121.54154,24.98343,21
1,121.54244,24.97856,21
8,121.54385,24.96033,21
4,121.56632,25.04067,21
6,121.60370,25.08433,21
13,121.60535,25.07411,21
15,121.73867,25.09582,21
1,120.23997,22.95992,22
1,120.24451,22.97304,22
5,120.60440,24.04780,22
8,120.63819,24.18575,22
2,120.65221,24.21061,22
2,120.65456,24.33109,22
2,120.88937,24.63609,22
1,121.03645,24.92824,22
1,121.17781,24.80689,22
6,121.21102,25.01362,22
3,121.22737,25.01546,22
8,121.23016,24.96681,22
10,121.24852,24.97856,22
4,121.26835,25.01866,22
18,121.29249,24.98680,22
14,121.29799,25.05665,22
2,121.31538,23.33119,22
1,121.34448,24.98398,22
47,121.44975,25.03176,22
3,121.55267,24.97936,22
33,121.56265,25.00345,22
42,121.56789,24.97884,22
31,121.57466,25.06037,22
1,121.65444,25.20929,22
17,121.66222,25.06869,22
2,121.75740,24.81370,22
7,121.76958,24.68081,22
1,120.20721,23.03228,23
1,120.25070,23.71803,23
1,120.29968,22.64523,23
1,120.44318,22.77202,23
3,120.50716,23.96914,23
2,120.57613,24.27177,23
4,120.71066,24.31464,23
2,120.77397,24.43846,23
3,120.90399,24.68268,23
3,120.97187,24.80270,23
1,121.02917,24.87031,23
1,121.03989,24.82931,23
19,121.29470,25.01690,23
2,121.29953,24.96122,23
31,121.41702,24.97981,23
28,121.42980,24.99240,23
22,121.46467,24.99580,23
59,121.49332,25.07159,23
14,121.50369,24.99703,23
10,121.52821,24.97657,23
1,121.54881,25.05081,23
23,121.56398,25.05181,23
1,121.62010,25.06690,23
3,121.75700,24.65860,23
1,121.47425,25.06864,07
8,121.48177,25.06198,07
2,121.51833,25.08733,07
1,120.28735,22.86770,08
1,120.33435,22.63420,08
1,120.62766,24.09865,08
1,120.63322,24.07156,08
3,121.17362,24.91106,08
9,121.17583,25.06139,08
3,121.23618,25.06270,08
2,121.25197,24.92747,08
6,121.29481,24.95931,08
14,121.30039,24.99339,08
4,121.30453,24.98288,08
216,121.40274,25.05456,08
42,121.47870,25.02781,08
322,121.48629,25.08797,08
1515,121.51170,25.05835,08
25,121.53007,25.05985,08
12,121.55870,24.98857,08
4,121.56605,25.04937,08
75,121.58451,25.04802,08
1,121.68887,24.71469,08
2,121.80195,25.10859,08
1,120.21152,22.97956,09
2,120.61385,24.22223,09
1,120.62207,24.33476,09
1,120.70358,23.83539,09
1,120.70551,24.14256,09
1,120.70775,24.22839,09
1,120.93736,24.84094,09
10,120.95745,24.77002,09
5,120.96315,24.80306,09
39,121.07517,24.88431,09
5,121.15159,24.97727,09
23,121.24343,25.02436,09
2,121.25889,24.96250,09
22,121.28524,25.07224,09
79,121.28917,25.03707,09
3,121.33726,24.93313,09
22,121.42774,25.05020,09
27,121.44347,25.16964,09
